@relation data-server

@attribute SIZE numeric
@attribute HOUR numeric
@attribute MBS numeric 

@data
1541,22,625.703
933,22,1261.674
1197,22,968.163
4764,22,1141.575
4634,22,948.541
4930,22,658.47
4930,22,742.097
2838,22,655.423
853,22,539.539
994,22,823.581
828,22,1327.78
4930,22,1191.546
243,22,612.215
201,22,807.956
1065,22,1144.391
776,22,582.41
416,22,1256.575
2082,22,1217.266
4930,22,650.574
1005,22,1231.24
4930,22,1083.974
3394,22,525.532
4930,22,1120.449
1618,22,742.036
4930,22,551.56
1378,22,946.099
4930,22,901.869
4930,22,804.734
90,22,772.623
892,22,678.095
374,22,486.307
4930,22,901.86
4930,22,474.202
1504,22,1150.522
0,22,1262.145
243,22,850.116
201,22,1317.252
1065,22,457.924
352,22,630.804
43,22,1243.778
4406,22,1271.438
2082,22,1041.746
2838,22,1250.513
929,22,839.704
4380,22,736.169
49673,22,1350.226
1618,22,671.445
4930,22,590.223
3394,22,1314.635
348,22,1131.198
994,22,606.12
853,22,808.546
416,22,792.54
286,22,605.561
7305,22,511.595
82,22,1249.939
4733,22,506.996
889,22,1237.583
694,22,992.022
870,22,1083.37
937,22,539.003
43,22,1004.725
417,22,954.806
360,22,1352.51
428,22,648.075
914,22,456.326
914,22,511.18
3867,22,656.125
934,22,1311.07
1991,22,872.419
1378,22,964.141
1297,22,848.029
8389,22,1264.689
1297,22,774.546
4930,22,1086.48
283,22,1277.015
2240,22,1257.744
43,22,471.591
43,22,559.335
224,22,1270.153
43,22,1231.153
494,22,1048.072
90,23,1159.044
298,23,562.93
0,23,459.229
428,23,690.874
417,23,731.622
224,23,1072.821
1766,23,621.945
494,23,837.459
901,23,641.346
240,23,1181.668
4930,23,1186.403
4930,23,592.536
374,23,975.507
1991,23,508.479
243,23,969.165
49598,23,718.606
89,23,1335.695
0,23,658.794
90,23,1103.289
929,23,1242.034
0,23,892.953
2838,23,1214.458
892,23,485.045
8389,23,513.498
12646,23,668.306
2240,23,632.427
929,23,499.62
90,23,978.048
0,23,1308.818
0,23,537.783
0,23,513.816
1272,23,583.661
0,23,991.488
0,23,687.36
872,23,597.768
0,23,569.901
283,23,1250.806
872,23,478.614
0,23,651.003
90,23,945.933
305,23,532.862
0,23,788.752
90,23,584.992
241,23,892.273
0,23,1114.171
0,23,1345.459
